m,p,2Q Depth,Iterations,Feasible Samples,Unique Feasible Bitstrings,final_objective
0,1,8,48,88,21,-2.919513879
0,2,12,87,100,22,-2.973845779
0,3,16,128,165,23,-3.062303364
0,4,20,134,82,21,-3.072682016
0,5,24,192,108,19,-3.132814213
0,6,28,214,131,22,-3.129154204
1,1,114,46,19,14,-2.852748855
1,2,135,77,21,13,-2.968354315
1,3,173,109,22,13,-2.958204809
1,4,166,139,25,12,-2.961327912
1,5,205,173,14,11,-2.985574048
1,6,195,189,18,9,-3.008766705
2,1,130,48,14,11,-2.920731635
2,2,189,87,18,12,-2.986359108
2,3,169,116,13,10,-2.970393868
2,4,183,134,19,12,-2.978517972
2,5,190,160,13,11,-2.993464679
2,6,184,194,16,8,-2.994951012
3,1,131,50,10,9,-2.952967876
3,2,131,78,20,12,-2.956807118
3,3,187,109,20,14,-2.93326959
3,4,133,135,41,13,-3.00796973
3,5,183,163,13,11,-2.98002362
3,6,122,192,19,11,-3.001521814
4,1,279,51,20,14,-2.985477069
4,2,279,78,22,16,-2.98962593
4,3,279,111,16,11,-2.992612693
4,4,279,133,7,7,-2.991292486
4,5,279,183,27,18,-2.991855286
4,6,279,192,13,9,-2.994207804
5,1,257,51,23,15,-2.959565683
5,2,257,78,14,10,-2.958733905
5,3,257,105,21,15,-2.965191751
5,4,257,135,19,15,-2.975728196
5,5,257,159,15,12,-2.975940714
5,6,257,188,19,12,-2.983858934
6,1,273,47,8,8,-2.951160133
6,2,273,82,15,11,-2.972760574
6,3,273,103,13,10,-2.98077628
6,4,273,133,10,8,-2.982789853
6,5,273,167,23,14,-2.987044372
6,6,273,192,13,12,-2.996529516
