m,p,2Q Depth,Iterations,Feasible Samples,Unique Feasible Bitstrings,final_objective
0,1,105,53,23,12,-2.961538128
0,2,214,78,11,7,-2.960124408
0,3,349,108,21,13,-2.989375652
0,4,339,134,12,10,-2.986955805
0,5,538,160,12,9,-3.018441069
0,6,779,196,13,11,-3.089141448
1,1,208,46,11,8,-2.922889577
1,2,281,76,15,13,-2.978192776
1,3,422,106,14,9,-3.00798671
1,4,429,152,10,8,-2.994337735
1,5,701,160,10,8,-3.074750012
1,6,811,188,24,15,-3.093057111
2,1,234,50,18,14,-2.948854331
2,2,384,78,17,12,-2.991534248
2,3,435,105,19,15,-2.995995428
2,4,494,132,11,9,-3.014227534
2,5,562,160,11,9,-3.027953649
2,6,829,190,9,7,-3.077697666
3,1,255,48,18,10,-2.970488262
3,2,370,78,15,13,-3.001654783
3,3,383,106,15,12,-2.999834262
3,4,558,132,13,11,-3.042038381
3,5,668,166,10,9,-3.044487342
3,6,809,190,18,14,-3.07864364
4,1,386,53,15,14,-3.001388059
4,2,401,77,14,11,-2.99605754
4,3,653,104,17,13,-3.059045733
4,4,684,132,13,10,-3.052537219
4,5,835,160,14,12,-3.09308345
4,6,824,188,12,9,-3.074238492
5,1,303,44,15,11,-2.971258458
5,2,482,76,13,10,-3.004366059
5,3,542,104,17,15,-3.027963483
5,4,653,133,12,10,-3.052861458
5,5,735,160,21,17,-3.093398132
5,6,976,190,9,8,-3.098322253
6,1,324,44,21,14,-2.967298072
6,2,501,78,19,13,-3.020890086
6,3,531,104,19,12,-3.019814097
6,4,645,134,14,10,-3.037700837
6,5,683,164,18,12,-3.055822091
6,6,920,188,16,14,-3.09906108
